Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TCS01,Chrome 118.0.0.0,,,05-03-2024 12:43:02,05-03-2024 12:43:34,31.706s,PASSED
,,,,,,,
Test Cases/TC01,Chrome 118.0.0.0,,,05-03-2024 12:43:02,05-03-2024 12:43:07,4.398s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,05-03-2024 12:43:02,05-03-2024 12:43:04,1.279s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/form.html"")",Chrome 118.0.0.0,,,05-03-2024 12:43:04,05-03-2024 12:43:04,0.097s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_first-name""), ""johnjohn"")",Chrome 118.0.0.0,,,05-03-2024 12:43:04,05-03-2024 12:43:04,0.685s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_last-name""), ""canonc"")",Chrome 118.0.0.0,,,05-03-2024 12:43:04,05-03-2024 12:43:05,0.568s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_age""), ""2"")",Chrome 118.0.0.0,,,05-03-2024 12:43:05,05-03-2024 12:43:05,0.555s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_sub""))",Chrome 118.0.0.0,,,05-03-2024 12:43:05,05-03-2024 12:43:06,0.317s,PASSED
"verifyTextPresent(""Received Data"", false)",Chrome 118.0.0.0,,,05-03-2024 12:43:06,05-03-2024 12:43:06,0.264s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC01.png"")",Chrome 118.0.0.0,,,05-03-2024 12:43:06,05-03-2024 12:43:06,0.356s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,05-03-2024 12:43:06,05-03-2024 12:43:07,0.087s,PASSED
,,,,,,,
Test Cases/TC02,Chrome 118.0.0.0,,,05-03-2024 12:43:07,05-03-2024 12:43:10,3.438s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,05-03-2024 12:43:07,05-03-2024 12:43:07,0.545s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/form.html"")",Chrome 118.0.0.0,,,05-03-2024 12:43:07,05-03-2024 12:43:07,0.068s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Detail Form/input_Customer Detail Form_first-name""), ""Johnj"")",Chrome 118.0.0.0,,,05-03-2024 12:43:07,05-03-2024 12:43:08,0.579s,PASSED
